abound,abounds,,,,,
about,,,,,,
above,,,,,,
absent,,,,,,
accept,acept,accepted,acepted,accepts,acepts,
account,acount,accounted,accounts,,,
achieve,acheived,achieved,,,,
acid,,,,,,
across,accross,acros,,,,
action,actioned,actions,,,,
address,adress,,,,,
admit,addmit,admitted,admited,admits,addmits,admitts
advance,advanse,advanced,advansed,,,
advice,adviced,,,,,
afraid,,,,,,
after,,,,,,
again,agin,,,,,
agent,agents,,,,,
agree,agreed,,,,,
aim,aims,aimed,,,,
allow,alow,allowed,allows,,,
almost,allmost,,,,,
alone,aloan,,,,,
amend,ammend,amended,ammended,,,
among,amung,,,,,
ancient,ansient,,,,,
and,,,,,,
answer,anser,answered,ansered,answers,ansers,
apart,,,,,,
appeal,apeal,apeel,appealed,apealed,apeeled,
appear,apear,appeer,appeared,apeared,appeered,
approach,approch,aproach,approached,aproached,,
arm,armed,arms,,,,
around,,,,,,
arrive,arived,arrived,arive,,,
art,,,,,,
artist,,,,,,
ascent,asent,acent,assent,,,
aside,asside,,,,,
assign,asign,assigned,asigned,,,
assume,asume,assumed,asumed,,,
assure,asured,assured,asure,,,
attack,attak,atack,attacked,atacked,attaked,
attempt,atempt,attempted,attempts,atempts,,
attend,atend,attended,atended,,,
avoid,avoided,avoids,,,,
award,awarded,awards,,,,
aware,awear,,,,,
away,,,,,,
bad,,,,,,
balance,balanse,balanced,,,,
band,bands,banded,,,,
bank,banks,banked,,,,
bar,barr,bars,barrs,,,
basement,basemeant,,,,,
basket,baskets,,,,,
bat,batt,batts,bats,,,
beat,beet,beets,beats,,,
became,,,,,,
because,,,,,,
become,becomes,,,,,
beer,beers,,,,,
before,,,,,,
began,,,,,,
begin,begins,,,,,
begun,,,,,,
behind,,,,,,
belief,beleif,beliefs,,,,
believe,beleived,believed,,,,
below,,,,,,
beneath,beneeth,,,,,
beside,,,,,,
betray,betraid,betrayed,,,,
between,,,,,,
beyond,,,,,,
birth,births,birthed,,,,
boasting,bosting,,,,,
